test_id	mode	event	status	spoof_continues	spoof_stops	reconnects_automatically	mac_required	internet_required	vanish_backend_required	usb_required	recovery_seconds	user_action_required	evidence
T01	REPEAT_PER_MODE	Wi-Fi to cellular	NOT_RUN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	NONE
T02	REPEAT_PER_MODE	Cellular to Wi-Fi	NOT_RUN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	NONE
T03	REPEAT_PER_MODE	Wi-Fi A to Wi-Fi B	NOT_RUN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	NONE
T04	REPEAT_PER_MODE	Mac Wi-Fi off	NOT_RUN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	NONE
T05	REPEAT_PER_MODE	iPhone Wi-Fi off	NOT_RUN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	NONE
T06	REPEAT_PER_MODE	Mac internet disconnected while local link preserved	NOT_RUN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	NONE
T07	REPEAT_PER_MODE	Mac sleeping	NOT_RUN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	NONE
T08	REPEAT_PER_MODE	Mac application normal quit	NOT_RUN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	NONE
T09	REPEAT_PER_MODE	Mac application force-killed	NOT_RUN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	NONE
T10	REPEAT_PER_MODE	Mac completely powered off	NOT_RUN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	NONE
T11	REPEAT_PER_MODE	USB connected	NOT_RUN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	NONE
T12	REPEAT_PER_MODE	USB disconnected	NOT_RUN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	NONE
T13	REPEAT_PER_MODE	iPhone locked	NOT_RUN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	NONE
